Sl. No,Name,Genre,Language,Price,Broadcaster,Image
398,Bhojpuri Dhamaka Dishum,NON-NEWS,Hindi,0,SADHNA MEDIA NETWORK PVT. LTD.,"""Channellogo/logo/BhojpuriDhamakaDishumearlierMAXVISIONCHITRAEARLIERSADHNA.jpg"" "
399,BIG GANGA TALKIES,NON-NEWS,Marathi,0,Zee Entertainment Enterprises Limited,"""Channellogo/logo/BIGGANGATALKIESEarlierBIGGAURAV.jpg"" "
400,Big Magic HD,NON-NEWS,Bengali,0,Zee Entertainment Enterprises Limited,"""Channellogo/logo/BigMagicHDEarlierknownasBigMagicUPBIGBONDHON.jpg"" "
401,Big Magic Punjab,NON-NEWS,Hindi,0,Zee Entertainment Enterprises Limited,"""Channellogo/logo/BigMagicPunjabEarlierknownBigMagicMPBIGFAMILY.jpg"" "
402,Big Thrill,NON-NEWS,English Hindi,0,Zee Entertainment Enterprises Limited,"""Channellogo/logo/BigThrillearlierBigRTLThrillImagineShowbiz.jpg"" "
403,BIZZ NEWS,NEWS,Gujarati,0,BIZZ NEWS PRIVATE LIMITED,"""Channellogo/logo/BIZZNEWS.jpg"" "
404,BLOOMBERG TELEVISION ASIA-PACIFIC FEED,NEWS,English,0,BLOOMBERG TELEVISION PRODUCTION SERVICES PVT. LTD.,"""Channellogo/logo/BLOOMBERGTELEVISIONASIAPACIFICFEED.jpg"" "
405,BNB,NON-NEWS,English Hindi Punjabi Other/Multi,0,BnB Entertainment Pvt. Ltd,"""Channellogo/logo/BNB.jpg"" "
406,Boom Music,NON-NEWS,Punjabi Hindi English Other/Multi,0,Munny Entertainments Pvt Ltd.,"""Channellogo/logo/BoomMusic.jpg"" "
407,BTVi,NEWS,English,0,Business Broadcast News Private Limited,"""Channellogo/logo/BTVi.jpg"" "
408,BULAND NEWS SAMACHAR PLUS,NEWS,Hindi English Punjabi Other/Multi,0,YPT ENTERTAINMENT HOUSE PRIVATE LIMITED,"""Channellogo/logo/BULANDNEWSSAMACHARPLUSearlierLPSTVERANEWS.jpg"" "
